detector,anomaly_type,window_size,trial,tpr,fpr,precision,f1,detection_latency,tp,fp,tn,fn
"ZScore(w=10, thr=3.0)",burst,10,0,0.0,0.0744,0.0,0.0,-1,0,2996,37286,5
"MAD(w=10, thr=3.5)",burst,10,0,0.6,0.1893,0.0004,0.0008,0,3,7624,32658,2
"EWMA(lambda=0.2, L=3.5)",burst,10,0,1.0,0.3099,0.0004,0.0008,0,5,12484,27798,0
"CUSUM(k=0.5, h=3.5)",burst,10,0,1.0,0.1111,0.0011,0.0022,0,5,4477,35805,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,0,0.4,0.1283,0.0004,0.0008,1,2,5170,35112,3
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,0,0.0,0.0426,0.0,0.0,-1,0,1716,38566,5
"ZScore(w=10, thr=3.0)",burst,10,1,0.0,0.0728,0.0,0.0,-1,0,2174,27709,5
"MAD(w=10, thr=3.5)",burst,10,1,1.0,0.146,0.0011,0.0023,0,5,4362,25521,0
"EWMA(lambda=0.2, L=3.5)",burst,10,1,0.0,0.0037,0.0,0.0,-1,0,111,29772,5
"CUSUM(k=0.5, h=3.5)",burst,10,1,0.0,0.0025,0.0,0.0,-1,0,76,29807,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,1,0.0,0.0816,0.0,0.0,-1,0,2439,27444,5
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,1,0.0,0.0131,0.0,0.0,-1,0,390,29493,5
"ZScore(w=10, thr=3.0)",burst,10,2,0.2,0.0689,0.0004,0.0007,0,1,2774,37506,4
"MAD(w=10, thr=3.5)",burst,10,2,1.0,0.1763,0.0007,0.0014,0,5,7100,33180,0
"EWMA(lambda=0.2, L=3.5)",burst,10,2,0.8,0.0593,0.0017,0.0033,1,4,2389,37891,1
"CUSUM(k=0.5, h=3.5)",burst,10,2,1.0,0.0454,0.0027,0.0054,0,5,1827,38453,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,2,0.4,0.0873,0.0006,0.0011,1,2,3518,36762,3
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,2,0.0,0.0083,0.0,0.0,-1,0,333,39947,5
"ZScore(w=10, thr=3.0)",burst,10,3,0.2,0.063,0.0004,0.0008,0,1,2540,37753,4
"MAD(w=10, thr=3.5)",burst,10,3,1.0,0.1214,0.001,0.002,0,5,4890,35403,0
"EWMA(lambda=0.2, L=3.5)",burst,10,3,0.0,0.0746,0.0,0.0,-1,0,3005,37288,5
"CUSUM(k=0.5, h=3.5)",burst,10,3,0.0,0.0898,0.0,0.0,-1,0,3619,36674,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,3,0.0,0.0962,0.0,0.0,-1,0,3875,36418,5
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,3,0.0,0.0002,0.0,0.0,-1,0,8,40285,5
"ZScore(w=10, thr=3.0)",burst,10,4,0.2,0.0772,0.0003,0.0006,0,1,3109,37164,4
"MAD(w=10, thr=3.5)",burst,10,4,1.0,0.1979,0.0006,0.0013,0,5,7969,32304,0
"EWMA(lambda=0.2, L=3.5)",burst,10,4,1.0,0.1885,0.0007,0.0013,0,5,7590,32683,0
"CUSUM(k=0.5, h=3.5)",burst,10,4,1.0,0.1006,0.0012,0.0025,0,5,4052,36221,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,4,1.0,0.1221,0.001,0.002,0,5,4918,35355,0
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,4,0.8,0.0765,0.0013,0.0026,1,4,3081,37192,1
"ZScore(w=10, thr=3.0)",burst,10,5,0.2,0.0528,0.0005,0.0009,0,1,2126,38167,4
"MAD(w=10, thr=3.5)",burst,10,5,0.8,0.0912,0.0011,0.0022,0,4,3674,36619,1
"EWMA(lambda=0.2, L=3.5)",burst,10,5,0.8,0.6376,0.0002,0.0003,1,4,25692,14601,1
"CUSUM(k=0.5, h=3.5)",burst,10,5,1.0,0.3497,0.0004,0.0007,0,5,14089,26204,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,5,0.2,0.1778,0.0001,0.0003,2,1,7165,33128,4
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,5,0.0,0.007,0.0,0.0,-1,0,284,40009,5
"ZScore(w=10, thr=3.0)",burst,10,6,0.2,0.0745,0.0003,0.0007,0,1,3001,37279,4
"MAD(w=10, thr=3.5)",burst,10,6,1.0,0.1768,0.0007,0.0014,0,5,7122,33158,0
"EWMA(lambda=0.2, L=3.5)",burst,10,6,0.0,0.0069,0.0,0.0,-1,0,276,40004,5
"CUSUM(k=0.5, h=3.5)",burst,10,6,0.0,0.0053,0.0,0.0,-1,0,213,40067,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,6,0.0,0.0814,0.0,0.0,-1,0,3277,37003,5
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,6,0.4,0.7149,0.0001,0.0001,0,2,28797,11483,3
"ZScore(w=10, thr=3.0)",burst,10,7,0.2,0.0644,0.0004,0.0008,0,1,2594,37693,4
"MAD(w=10, thr=3.5)",burst,10,7,0.8,0.1236,0.0008,0.0016,0,4,4980,35307,1
"EWMA(lambda=0.2, L=3.5)",burst,10,7,1.0,0.8282,0.0001,0.0003,0,5,33366,6921,0
"CUSUM(k=0.5, h=3.5)",burst,10,7,1.0,0.6178,0.0002,0.0004,0,5,24889,15398,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,7,1.0,0.448,0.0003,0.0006,0,5,18047,22240,0
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,7,0.0,0.0077,0.0,0.0,-1,0,311,39976,5
"ZScore(w=10, thr=3.0)",burst,10,8,0.2,0.0822,0.0004,0.0008,0,1,2367,26415,4
"MAD(w=10, thr=3.5)",burst,10,8,1.0,0.1805,0.001,0.0019,0,5,5194,23588,0
"EWMA(lambda=0.2, L=3.5)",burst,10,8,1.0,0.0199,0.0087,0.0172,0,5,573,28209,0
"CUSUM(k=0.5, h=3.5)",burst,10,8,1.0,0.0102,0.0168,0.033,0,5,293,28489,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,8,0.4,0.0832,0.0008,0.0017,1,2,2395,26387,3
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,8,0.0,0.001,0.0,0.0,-1,0,30,28752,5
"ZScore(w=10, thr=3.0)",burst,10,9,0.2,0.0827,0.0035,0.007,0,1,281,3116,4
"MAD(w=10, thr=3.5)",burst,10,9,1.0,0.2449,0.006,0.0119,0,5,832,2565,0
"EWMA(lambda=0.2, L=3.5)",burst,10,9,0.0,0.0748,0.0,0.0,-1,0,254,3143,5
"CUSUM(k=0.5, h=3.5)",burst,10,9,0.0,0.0392,0.0,0.0,-1,0,133,3264,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,9,0.0,0.0865,0.0,0.0,-1,0,294,3103,5
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,9,0.0,0.1001,0.0,0.0,-1,0,340,3057,5
"ZScore(w=10, thr=3.0)",burst,10,10,0.2,0.065,0.0004,0.0008,0,1,2620,37669,4
"MAD(w=10, thr=3.5)",burst,10,10,1.0,0.1373,0.0009,0.0018,0,5,5530,34759,0
"EWMA(lambda=0.2, L=3.5)",burst,10,10,0.0,0.0026,0.0,0.0,-1,0,103,40186,5
"CUSUM(k=0.5, h=3.5)",burst,10,10,0.0,0.0268,0.0,0.0,-1,0,1081,39208,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,10,0.2,0.0817,0.0003,0.0006,0,1,3290,36999,4
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,10,0.0,0.0,0.0,0.0,-1,0,1,40288,5
"ZScore(w=10, thr=3.0)",burst,10,11,0.4,0.0413,0.0012,0.0024,0,2,1627,37790,3
"MAD(w=10, thr=3.5)",burst,10,11,1.0,0.0824,0.0015,0.0031,0,5,3246,36171,0
"EWMA(lambda=0.2, L=3.5)",burst,10,11,0.0,0.0,0.0,0.0,-1,0,0,39417,5
"CUSUM(k=0.5, h=3.5)",burst,10,11,0.2,0.0298,0.0008,0.0017,2,1,1176,38241,4
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,11,0.2,0.0809,0.0003,0.0006,4,1,3188,36229,4
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,11,0.0,0.0,0.0,0.0,-1,0,0,39417,5
"ZScore(w=10, thr=3.0)",burst,10,12,0.0,0.0644,0.0,0.0,-1,0,2595,37692,5
"MAD(w=10, thr=3.5)",burst,10,12,0.8,0.1237,0.0008,0.0016,0,4,4984,35303,1
"EWMA(lambda=0.2, L=3.5)",burst,10,12,1.0,0.8285,0.0001,0.0003,0,5,33376,6911,0
"CUSUM(k=0.5, h=3.5)",burst,10,12,1.0,0.6179,0.0002,0.0004,0,5,24892,15395,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,12,1.0,0.4483,0.0003,0.0006,0,5,18060,22227,0
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,12,0.6,0.0079,0.0094,0.0185,2,3,317,39970,2
"ZScore(w=10, thr=3.0)",burst,10,13,0.2,0.0674,0.0004,0.0007,0,1,2715,37577,4
"MAD(w=10, thr=3.5)",burst,10,13,1.0,0.2194,0.0006,0.0011,0,5,8840,31452,0
"EWMA(lambda=0.2, L=3.5)",burst,10,13,1.0,0.0829,0.0015,0.003,0,5,3339,36953,0
"CUSUM(k=0.5, h=3.5)",burst,10,13,1.0,0.0431,0.0029,0.0057,0,5,1737,38555,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,13,0.6,0.089,0.0008,0.0017,0,3,3588,36704,2
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,13,0.6,0.0194,0.0038,0.0076,2,3,780,39512,2
"ZScore(w=10, thr=3.0)",burst,10,14,0.2,0.0598,0.0004,0.0008,0,1,2410,37882,4
"MAD(w=10, thr=3.5)",burst,10,14,0.6,0.1258,0.0006,0.0012,0,3,5070,35222,2
"EWMA(lambda=0.2, L=3.5)",burst,10,14,1.0,0.0825,0.0015,0.003,0,5,3325,36967,0
"CUSUM(k=0.5, h=3.5)",burst,10,14,1.0,0.0373,0.0033,0.0066,0,5,1503,38789,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,14,0.6,0.0891,0.0008,0.0017,0,3,3592,36700,2
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,14,0.8,0.0192,0.0052,0.0102,1,4,772,39520,1
"ZScore(w=10, thr=3.0)",burst,10,15,0.4,0.0471,0.0011,0.0021,0,2,1898,38395,3
"MAD(w=10, thr=3.5)",burst,10,15,1.0,0.0772,0.0016,0.0032,0,5,3110,37183,0
"EWMA(lambda=0.2, L=3.5)",burst,10,15,0.6,0.6932,0.0001,0.0002,2,3,27930,12363,2
"CUSUM(k=0.5, h=3.5)",burst,10,15,0.6,0.3919,0.0002,0.0004,1,3,15792,24501,2
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,15,0.4,0.1672,0.0003,0.0006,1,2,6739,33554,3
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,15,0.0,0.1652,0.0,0.0,-1,0,6657,33636,5
"ZScore(w=10, thr=3.0)",burst,10,16,0.0,0.0745,0.0,0.0,-1,0,3002,37278,5
"MAD(w=10, thr=3.5)",burst,10,16,0.6,0.1769,0.0004,0.0008,0,3,7124,33156,2
"EWMA(lambda=0.2, L=3.5)",burst,10,16,0.8,0.0069,0.0142,0.0279,1,4,278,40002,1
"CUSUM(k=0.5, h=3.5)",burst,10,16,0.6,0.0053,0.0139,0.0271,0,3,213,40067,2
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,16,0.4,0.0814,0.0006,0.0012,1,2,3279,37001,3
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,16,0.8,0.7152,0.0001,0.0003,1,4,28810,11470,1
"ZScore(w=10, thr=3.0)",burst,10,17,0.2,0.0601,0.0004,0.0008,0,1,2415,37745,4
"MAD(w=10, thr=3.5)",burst,10,17,0.8,0.1192,0.0008,0.0017,0,4,4789,35371,1
"EWMA(lambda=0.2, L=3.5)",burst,10,17,1.0,0.064,0.0019,0.0039,0,5,2572,37588,0
"CUSUM(k=0.5, h=3.5)",burst,10,17,1.0,0.0506,0.0025,0.0049,0,5,2033,38127,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,17,0.4,0.0895,0.0006,0.0011,1,2,3593,36567,3
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,17,0.8,0.0577,0.0017,0.0034,1,4,2317,37843,1
"ZScore(w=10, thr=3.0)",burst,10,18,0.2,0.0502,0.0005,0.001,0,1,2019,38198,4
"MAD(w=10, thr=3.5)",burst,10,18,0.2,0.0888,0.0003,0.0006,0,1,3570,36647,4
"EWMA(lambda=0.2, L=3.5)",burst,10,18,0.0,0.0142,0.0,0.0,-1,0,572,39645,5
"CUSUM(k=0.5, h=3.5)",burst,10,18,0.0,0.0205,0.0,0.0,-1,0,824,39393,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,18,0.2,0.0826,0.0003,0.0006,4,1,3320,36897,4
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,18,0.0,0.0028,0.0,0.0,-1,0,112,40105,5
"ZScore(w=10, thr=3.0)",burst,10,19,0.2,0.0652,0.0004,0.0008,0,1,2616,37517,4
"MAD(w=10, thr=3.5)",burst,10,19,0.6,0.1411,0.0005,0.0011,0,3,5662,34471,2
"EWMA(lambda=0.2, L=3.5)",burst,10,19,0.8,0.2895,0.0003,0.0007,1,4,11617,28516,1
"CUSUM(k=0.5, h=3.5)",burst,10,19,0.6,0.1233,0.0006,0.0012,0,3,4947,35186,2
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,19,0.2,0.1209,0.0002,0.0004,2,1,4851,35282,4
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,19,0.0,0.0065,0.0,0.0,-1,0,259,39874,5
"ZScore(w=10, thr=3.0)",burst,10,20,0.2,0.0752,0.0003,0.0007,0,1,2949,36255,4
"MAD(w=10, thr=3.5)",burst,10,20,0.8,0.1855,0.0005,0.0011,0,4,7274,31930,1
"EWMA(lambda=0.2, L=3.5)",burst,10,20,0.0,0.2499,0.0,0.0,-1,0,9799,29405,5
"CUSUM(k=0.5, h=3.5)",burst,10,20,0.0,0.1419,0.0,0.0,-1,0,5562,33642,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,20,0.2,0.147,0.0002,0.0003,0,1,5764,33440,4
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,20,0.0,0.0188,0.0,0.0,-1,0,737,38467,5
"ZScore(w=10, thr=3.0)",burst,10,21,0.2,0.0758,0.0003,0.0007,0,1,3046,37157,4
"MAD(w=10, thr=3.5)",burst,10,21,0.2,0.1926,0.0001,0.0003,0,1,7743,32460,4
"EWMA(lambda=0.2, L=3.5)",burst,10,21,0.8,0.0322,0.0031,0.0061,1,4,1295,38908,1
"CUSUM(k=0.5, h=3.5)",burst,10,21,0.6,0.0175,0.0043,0.0085,0,3,702,39501,2
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,21,0.4,0.0833,0.0006,0.0012,0,2,3349,36854,3
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,21,0.8,0.0363,0.0027,0.0054,1,4,1461,38742,1
"ZScore(w=10, thr=3.0)",burst,10,22,0.2,0.0762,0.0003,0.0007,0,1,3044,36915,4
"MAD(w=10, thr=3.5)",burst,10,22,1.0,0.2011,0.0006,0.0012,0,5,8037,31922,0
"EWMA(lambda=0.2, L=3.5)",burst,10,22,0.8,0.3134,0.0003,0.0006,1,4,12523,27436,1
"CUSUM(k=0.5, h=3.5)",burst,10,22,1.0,0.2158,0.0006,0.0012,0,5,8624,31335,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,22,0.2,0.3378,0.0001,0.0001,4,1,13498,26461,4
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,22,0.0,0.0051,0.0,0.0,-1,0,202,39757,5
"ZScore(w=10, thr=3.0)",burst,10,23,0.2,0.0737,0.0003,0.0007,0,1,2944,36996,4
"MAD(w=10, thr=3.5)",burst,10,23,0.8,0.207,0.0005,0.001,0,4,8269,31671,1
"EWMA(lambda=0.2, L=3.5)",burst,10,23,0.8,0.0072,0.0137,0.0268,1,4,289,39651,1
"CUSUM(k=0.5, h=3.5)",burst,10,23,0.4,0.0039,0.0127,0.0245,1,2,156,39784,3
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,23,0.4,0.0816,0.0006,0.0012,0,2,3258,36682,3
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,23,0.4,0.0068,0.0073,0.0143,3,2,272,39668,3
"ZScore(w=10, thr=3.0)",burst,10,24,0.2,0.0724,0.0003,0.0007,0,1,2911,37319,4
"MAD(w=10, thr=3.5)",burst,10,24,1.0,0.1712,0.0007,0.0014,0,5,6888,33342,0
"EWMA(lambda=0.2, L=3.5)",burst,10,24,1.0,0.1759,0.0007,0.0014,0,5,7077,33153,0
"CUSUM(k=0.5, h=3.5)",burst,10,24,1.0,0.1067,0.0012,0.0023,0,5,4292,35938,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,24,1.0,0.1185,0.001,0.0021,0,5,4767,35463,0
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,24,0.4,0.0085,0.0058,0.0114,3,2,343,39887,3
"ZScore(w=10, thr=3.0)",burst,10,25,0.2,0.0745,0.0003,0.0007,0,1,3002,37278,4
"MAD(w=10, thr=3.5)",burst,10,25,1.0,0.1768,0.0007,0.0014,0,5,7122,33158,0
"EWMA(lambda=0.2, L=3.5)",burst,10,25,0.0,0.0069,0.0,0.0,-1,0,276,40004,5
"CUSUM(k=0.5, h=3.5)",burst,10,25,0.0,0.0053,0.0,0.0,-1,0,213,40067,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,25,0.2,0.0814,0.0003,0.0006,1,1,3279,37001,4
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,25,0.4,0.7149,0.0001,0.0001,0,2,28797,11483,3
"ZScore(w=10, thr=3.0)",burst,10,26,0.0,0.0569,0.0,0.0,-1,0,2293,37998,5
"MAD(w=10, thr=3.5)",burst,10,26,0.6,0.1114,0.0007,0.0013,0,3,4487,35804,2
"EWMA(lambda=0.2, L=3.5)",burst,10,26,1.0,0.5857,0.0002,0.0004,0,5,23600,16691,0
"CUSUM(k=0.5, h=3.5)",burst,10,26,1.0,0.2578,0.0005,0.001,0,5,10389,29902,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,26,1.0,0.1651,0.0008,0.0015,0,5,6651,33640,0
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,26,0.2,0.0039,0.0063,0.0123,4,1,157,40134,4
"ZScore(w=10, thr=3.0)",burst,10,27,0.2,0.0745,0.0003,0.0007,0,1,3000,37280,4
"MAD(w=10, thr=3.5)",burst,10,27,0.6,0.1768,0.0004,0.0008,0,3,7122,33158,2
"EWMA(lambda=0.2, L=3.5)",burst,10,27,0.0,0.0069,0.0,0.0,-1,0,276,40004,5
"CUSUM(k=0.5, h=3.5)",burst,10,27,0.0,0.0053,0.0,0.0,-1,0,213,40067,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,27,0.2,0.0814,0.0003,0.0006,1,1,3277,37003,4
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,27,1.0,0.715,0.0002,0.0003,0,5,28802,11478,0
"ZScore(w=10, thr=3.0)",burst,10,28,0.2,0.0737,0.0003,0.0007,0,1,2943,36997,4
"MAD(w=10, thr=3.5)",burst,10,28,1.0,0.207,0.0006,0.0012,0,5,8267,31673,0
"EWMA(lambda=0.2, L=3.5)",burst,10,28,0.4,0.0072,0.0069,0.0136,3,2,288,39652,3
"CUSUM(k=0.5, h=3.5)",burst,10,28,0.4,0.0039,0.0127,0.0245,1,2,156,39784,3
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,28,0.2,0.0816,0.0003,0.0006,3,1,3258,36682,4
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,28,0.0,0.0067,0.0,0.0,-1,0,266,39674,5
"ZScore(w=10, thr=3.0)",burst,10,29,0.4,0.0601,0.0008,0.0017,0,2,2414,37746,3
"MAD(w=10, thr=3.5)",burst,10,29,1.0,0.1192,0.001,0.0021,0,5,4789,35371,0
"EWMA(lambda=0.2, L=3.5)",burst,10,29,0.0,0.0638,0.0,0.0,-1,0,2563,37597,5
"CUSUM(k=0.5, h=3.5)",burst,10,29,0.0,0.0506,0.0,0.0,-1,0,2033,38127,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,29,0.0,0.0895,0.0,0.0,-1,0,3596,36564,5
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,29,0.0,0.0575,0.0,0.0,-1,0,2308,37852,5
"ZScore(w=10, thr=3.0)",rate_shift,10,0,0.1,0.0822,0.0008,0.0017,0,2,2366,26401,18
"MAD(w=10, thr=3.5)",rate_shift,10,0,0.3,0.1804,0.0012,0.0023,0,6,5191,23576,14
"EWMA(lambda=0.2, L=3.5)",rate_shift,10,0,0.0,0.0197,0.0,0.0,-1,0,568,28199,20
"CUSUM(k=0.5, h=3.5)",rate_shift,10,0,0.0,0.0102,0.0,0.0,-1,0,293,28474,20
"PageHinkley(delta=0.5, lambda=12.0)",rate_shift,10,0,0.1,0.0832,0.0008,0.0017,-1,2,2393,26374,18
"SlidingWindow(mean, w=10, thr=3.0)",rate_shift,10,0,0.0,0.001,0.0,0.0,-1,0,30,28737,20
"ZScore(w=10, thr=3.0)",rate_shift,10,1,0.05,0.0436,0.0006,0.0011,0,1,1755,38523,19
"MAD(w=10, thr=3.5)",rate_shift,10,1,0.1,0.0686,0.0007,0.0014,0,2,2765,37513,18
"EWMA(lambda=0.2, L=3.5)",rate_shift,10,1,1.0,0.8212,0.0006,0.0012,0,20,33077,7201,0
"CUSUM(k=0.5, h=3.5)",rate_shift,10,1,1.0,0.6216,0.0008,0.0016,0,20,25037,15241,0
"PageHinkley(delta=0.5, lambda=12.0)",rate_shift,10,1,0.6,0.3018,0.001,0.002,0,12,12154,28124,8
"SlidingWindow(mean, w=10, thr=3.0)",rate_shift,10,1,0.6,0.0297,0.0099,0.0196,-1,12,1195,39083,8
"ZScore(w=10, thr=3.0)",rate_shift,10,2,0.05,0.0601,0.0004,0.0008,-1,1,2414,37731,19
"MAD(w=10, thr=3.5)",rate_shift,10,2,0.15,0.1192,0.0006,0.0012,-1,3,4785,35360,17
"EWMA(lambda=0.2, L=3.5)",rate_shift,10,2,0.0,0.0638,0.0,0.0,-1,0,2563,37582,20
"CUSUM(k=0.5, h=3.5)",rate_shift,10,2,0.05,0.0506,0.0005,0.001,-1,1,2033,38112,19
"PageHinkley(delta=0.5, lambda=12.0)",rate_shift,10,2,0.1,0.0895,0.0006,0.0011,-1,2,3594,36551,18
"SlidingWindow(mean, w=10, thr=3.0)",rate_shift,10,2,0.0,0.0575,0.0,0.0,-1,0,2308,37837,20
"ZScore(w=10, thr=3.0)",rate_shift,10,3,0.1,0.046,0.0011,0.0021,0,2,1854,38413,18
"MAD(w=10, thr=3.5)",rate_shift,10,3,0.2,0.0995,0.001,0.002,0,4,4006,36261,16
"EWMA(lambda=0.2, L=3.5)",rate_shift,10,3,1.0,0.1266,0.0039,0.0078,0,20,5096,35171,0
"CUSUM(k=0.5, h=3.5)",rate_shift,10,3,0.5,0.0651,0.0038,0.0075,0,10,2620,37647,10
"PageHinkley(delta=0.5, lambda=12.0)",rate_shift,10,3,0.3,0.0939,0.0016,0.0032,0,6,3782,36485,14
"SlidingWindow(mean, w=10, thr=3.0)",rate_shift,10,3,0.75,0.0105,0.0342,0.0655,-1,15,423,39844,5
"ZScore(w=10, thr=3.0)",rate_shift,10,4,0.0,0.0819,0.0,0.0,-1,0,3297,36981,20
"MAD(w=10, thr=3.5)",rate_shift,10,4,0.2,0.1947,0.0005,0.001,0,4,7844,32434,16
"EWMA(lambda=0.2, L=3.5)",rate_shift,10,4,0.0,0.186,0.0,0.0,-1,0,7491,32787,20
"CUSUM(k=0.5, h=3.5)",rate_shift,10,4,0.0,0.1273,0.0,0.0,-1,0,5128,35150,20
"PageHinkley(delta=0.5, lambda=12.0)",rate_shift,10,4,0.1,0.1522,0.0003,0.0007,-1,2,6130,34148,18
"SlidingWindow(mean, w=10, thr=3.0)",rate_shift,10,4,0.0,0.0005,0.0,0.0,-1,0,21,40257,20
"ZScore(w=10, thr=3.0)",rate_shift,10,5,0.05,0.0758,0.0003,0.0007,-1,1,3046,37142,19
"MAD(w=10, thr=3.5)",rate_shift,10,5,0.25,0.1927,0.0006,0.0013,0,5,7746,32442,15
"EWMA(lambda=0.2, L=3.5)",rate_shift,10,5,0.0,0.0321,0.0,0.0,-1,0,1291,38897,20
"CUSUM(k=0.5, h=3.5)",rate_shift,10,5,0.0,0.0175,0.0,0.0,-1,0,702,39486,20
"PageHinkley(delta=0.5, lambda=12.0)",rate_shift,10,5,0.05,0.0833,0.0003,0.0006,-1,1,3348,36840,19
"SlidingWindow(mean, w=10, thr=3.0)",rate_shift,10,5,0.0,0.0362,0.0,0.0,-1,0,1454,38734,20
"ZScore(w=10, thr=3.0)",rate_shift,10,6,0.1,0.0528,0.0009,0.0019,0,2,2125,38153,18
"MAD(w=10, thr=3.5)",rate_shift,10,6,0.3,0.0913,0.0016,0.0032,0,6,3676,36602,14
"EWMA(lambda=0.2, L=3.5)",rate_shift,10,6,0.95,0.638,0.0007,0.0015,1,19,25696,14582,1
"CUSUM(k=0.5, h=3.5)",rate_shift,10,6,0.75,0.3497,0.0011,0.0021,0,15,14087,26191,5
"PageHinkley(delta=0.5, lambda=12.0)",rate_shift,10,6,0.25,0.1779,0.0007,0.0014,3,5,7165,33113,15
"SlidingWindow(mean, w=10, thr=3.0)",rate_shift,10,6,0.0,0.0071,0.0,0.0,-1,0,284,39994,20
"ZScore(w=10, thr=3.0)",rate_shift,10,7,0.05,0.0798,0.0003,0.0006,0,1,3211,37052,19
"MAD(w=10, thr=3.5)",rate_shift,10,7,0.3,0.1958,0.0008,0.0015,0,6,7883,32380,14
"EWMA(lambda=0.2, L=3.5)",rate_shift,10,7,1.0,0.372,0.0013,0.0027,0,20,14978,25285,0
"CUSUM(k=0.5, h=3.5)",rate_shift,10,7,1.0,0.1967,0.0025,0.005,0,20,7920,32343,0
"PageHinkley(delta=0.5, lambda=12.0)",rate_shift,10,7,1.0,0.259,0.0019,0.0038,0,20,10430,29833,0
"SlidingWindow(mean, w=10, thr=3.0)",rate_shift,10,7,0.0,0.0008,0.0,0.0,-1,0,33,40230,20
"ZScore(w=10, thr=3.0)",rate_shift,10,8,0.1,0.0688,0.0007,0.0014,-1,2,2772,37493,18
"MAD(w=10, thr=3.5)",rate_shift,10,8,0.25,0.1763,0.0007,0.0014,0,5,7099,33166,15
"EWMA(lambda=0.2, L=3.5)",rate_shift,10,8,0.7,0.0593,0.0058,0.0116,-1,14,2386,37879,6
"CUSUM(k=0.5, h=3.5)",rate_shift,10,8,0.35,0.0453,0.0038,0.0076,3,7,1825,38440,13
"PageHinkley(delta=0.5, lambda=12.0)",rate_shift,10,8,0.2,0.0873,0.0011,0.0023,0,4,3514,36751,16
"SlidingWindow(mean, w=10, thr=3.0)",rate_shift,10,8,0.0,0.0083,0.0,0.0,-1,0,333,39932,20
"ZScore(w=10, thr=3.0)",rate_shift,10,9,0.05,0.0643,0.0004,0.0008,-1,1,2588,37686,19
"MAD(w=10, thr=3.5)",rate_shift,10,9,0.25,0.1194,0.001,0.0021,0,5,4807,35467,15
"EWMA(lambda=0.2, L=3.5)",rate_shift,10,9,1.0,0.6701,0.0007,0.0015,0,20,26988,13286,0
