detector,anomaly_type,window_size,n_trials,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,f1_mean,f1_std,detection_rate,avg_detection_latency,stdev_detection_latency
"CUSUM(k=0.5, h=3.5)",burst,10,30,0.5467,0.441,0.1176,0.1663,0.0026,0.0046,0.0051,0.0091,0.6667,0.25,0.54
"CUSUM(k=0.5, h=3.5)",burst,20,30,0.54,0.4005,0.096,0.0894,0.0014,0.0024,0.0028,0.0047,0.8333,0.76,0.95
"CUSUM(k=0.5, h=3.5)",burst,30,30,0.2333,0.3762,0.0503,0.0475,0.0011,0.0024,0.0022,0.0046,0.3667,1.0,1.54
"CUSUM(k=0.5, h=3.5)",burst,50,30,0.3933,0.3881,0.0671,0.0405,0.0021,0.0068,0.0041,0.0131,0.7333,1.45,1.37
"CUSUM(k=0.5, h=3.5)",gradual_drift,10,30,0.4367,0.3454,0.1183,0.1335,0.0059,0.0191,0.0109,0.0336,0.5333,1.69,1.36
"CUSUM(k=0.5, h=3.5)",gradual_drift,20,30,0.3067,0.3607,0.1107,0.1378,0.003,0.0045,0.0057,0.008,0.2667,1.12,1.45
"CUSUM(k=0.5, h=3.5)",gradual_drift,30,30,0.3233,0.3313,0.0679,0.0812,0.0067,0.0184,0.0123,0.0328,0.4,1.75,1.36
"CUSUM(k=0.5, h=3.5)",gradual_drift,50,30,0.2067,0.2626,0.064,0.0363,0.0039,0.0101,0.0075,0.0189,0.3667,1.82,1.64
"CUSUM(k=0.5, h=3.5)",rate_shift,10,30,0.4367,0.4105,0.1132,0.1342,0.0072,0.0234,0.0132,0.0413,0.6,0.67,1.2
"CUSUM(k=0.5, h=3.5)",rate_shift,20,30,0.4683,0.4261,0.0749,0.0649,0.0033,0.0032,0.0066,0.0064,0.6,0.72,1.33
"CUSUM(k=0.5, h=3.5)",rate_shift,30,30,0.2383,0.2682,0.0754,0.086,0.002,0.0025,0.0039,0.0049,0.4,1.0,1.08
"CUSUM(k=0.5, h=3.5)",rate_shift,50,30,0.1867,0.2649,0.0553,0.0391,0.0021,0.0029,0.0041,0.0056,0.4333,1.54,1.5
"CUSUM(k=0.5, h=3.5)",transient,10,30,0.5,0.5,0.131,0.1764,0.0003,0.0007,0.0006,0.0013,0.5,0.0,0.0
"CUSUM(k=0.5, h=3.5)",transient,20,30,0.4667,0.4989,0.086,0.0734,0.0003,0.0005,0.0006,0.0011,0.4667,0.0,0.0
"CUSUM(k=0.5, h=3.5)",transient,30,30,0.3,0.4583,0.0447,0.0306,0.0002,0.0004,0.0004,0.0007,0.3667,0.36,0.88
"CUSUM(k=0.5, h=3.5)",transient,50,30,0.2667,0.4422,0.0629,0.0389,0.0001,0.0001,0.0001,0.0002,0.3333,0.5,1.02
"EWMA(lambda=0.2, L=3.5)",burst,10,30,0.5533,0.4403,0.1906,0.2555,0.0019,0.0038,0.0037,0.0074,0.6333,0.63,0.81
"EWMA(lambda=0.2, L=3.5)",burst,20,30,0.5267,0.4114,0.1892,0.1779,0.0012,0.0023,0.0024,0.0046,0.7,1.24,1.34
"EWMA(lambda=0.2, L=3.5)",burst,30,30,0.2,0.3759,0.0643,0.1186,0.0005,0.0012,0.001,0.0024,0.2333,0.71,1.03
"EWMA(lambda=0.2, L=3.5)",burst,50,30,0.3467,0.4193,0.0833,0.1125,0.0014,0.0036,0.0027,0.007,0.4667,1.29,1.44
"EWMA(lambda=0.2, L=3.5)",gradual_drift,10,30,0.56,0.3618,0.2098,0.2046,0.0044,0.0119,0.0085,0.0222,0.5,1.4,1.54
"EWMA(lambda=0.2, L=3.5)",gradual_drift,20,30,0.3767,0.3879,0.2041,0.223,0.0352,0.1792,0.0069,0.0177,0.2667,0.25,0.66
"EWMA(lambda=0.2, L=3.5)",gradual_drift,30,30,0.4083,0.3821,0.112,0.1501,0.0063,0.0131,0.0119,0.024,0.3,1.44,1.71
"EWMA(lambda=0.2, L=3.5)",gradual_drift,50,30,0.2383,0.3106,0.058,0.0746,0.0057,0.0115,0.0107,0.0215,0.1333,1.0,1.73
"EWMA(lambda=0.2, L=3.5)",rate_shift,10,30,0.5417,0.4563,0.2056,0.2058,0.0048,0.0133,0.0092,0.0247,0.4667,0.21,0.41
"EWMA(lambda=0.2, L=3.5)",rate_shift,20,30,0.55,0.4524,0.1642,0.1462,0.0019,0.0025,0.0038,0.0049,0.5,0.53,0.81
"EWMA(lambda=0.2, L=3.5)",rate_shift,30,30,0.4033,0.4201,0.1005,0.1709,0.0037,0.0057,0.0073,0.0111,0.3667,1.64,1.43
"EWMA(lambda=0.2, L=3.5)",rate_shift,50,30,0.3417,0.3986,0.0682,0.1253,0.0099,0.0217,0.0186,0.0387,0.3,1.33,1.41
"EWMA(lambda=0.2, L=3.5)",transient,10,30,0.3667,0.4819,0.2082,0.2563,0.0001,0.0003,0.0002,0.0007,0.3667,0.0,0.0
"EWMA(lambda=0.2, L=3.5)",transient,20,30,0.4,0.4899,0.1706,0.1696,0.0002,0.0007,0.0005,0.0013,0.4333,0.15,0.53
"EWMA(lambda=0.2, L=3.5)",transient,30,30,0.2667,0.4422,0.0634,0.0826,0.0001,0.0002,0.0002,0.0003,0.3,0.33,0.94
