detector,window,anomaly_type,pr_auc,vus_pr,f1,precision,recall,mcc,pa_f1,nab,nab_low_fp,detected_frac,latency,fp_per_1k
ewma_z,10,spike,0.6498046230900449,0.1832374424137956,0.6992158989988522,0.8149773982056591,0.7,0.7211919860880972,0.4320274574204705,54.26763648078961,38.92874759190072,0.7,0.0,15.166666666666666
ewma_z,10,drift,0.559862255033151,0.5686817554674003,0.6846300389886222,0.5605119434530228,0.9914636273903993,0.10224929205277723,0.9807817558641437,-2809.9272715582233,-5719.51893822489,1.0,0.0,423.0
ewma_z,10,periodicity,0.12953802269566694,0.1600387204312084,0.22598388250674897,0.12757035775899248,0.9893333333333333,0.04463741942644669,0.8982164758263164,-2772.4346425462145,-5644.534642546214,1.0,0.0,836.0
ewma_z,10,transient,0.7089870751606118,0.23038130287202713,0.7716726791726792,0.8995833333333334,0.7057539682539683,0.7843844731099051,0.3995853847466751,86.39958132829308,85.45999799495975,0.9083333333333333,0.0375,1.138888888888889
ewma_z,10,real,0.10475487510619128,0.11106455765166999,0.18746412247207359,0.10644818107545832,0.8618235174830581,0.04321529173996384,0.862607744495773,-10044.60422644881,-20188.699464544046,1.0,0.6892857142857143,725.2804706841343
ewma_z,20,spike,0.6961633469123002,0.19385270396231477,0.7333355399707885,0.8646951058201058,0.7277777777777777,0.7576497900704955,0.4590859619996311,58.191052019233695,44.68549646367815,0.7277777777777777,0.0,13.5
ewma_z,20,drift,0.5614204129488106,0.569759465943855,0.6876762132354454,0.5640754443547197,0.9899607712229211,0.14176021588570212,0.9790717561586209,-2779.21893822489,-5658.102271558223,1.0,0.0,413.88888888888886
ewma_z,20,periodicity,0.11530378011349107,0.14750211127936985,0.2276186263908569,0.12911380982686732,0.968,0.05377722715727658,0.9121724429416738,-2678.9346425462145,-5457.534642546214,1.0,0.0,809.3333333333333
ewma_z,20,transient,0.7891861758481853,0.25121959126344046,0.8017229067229067,0.902718253968254,0.754920634920635,0.8127982910637466,0.41384048119309524,85.25723546770156,84.36348546770157,0.8916666666666667,0.041666666666666664,1.1111111111111112
ewma_z,20,real,0.10766588805186948,0.11390748273896324,0.18867812760536107,0.11319470434578584,0.8161895264000594,0.04662894798026295,0.8633277006851424,-9641.64880794574,-19382.548212707647,1.0,2.6904761904761902,685.4918401811937
ewma_z,30,spike,0.7063259004755239,0.19725693622474424,0.7447059474793344,0.8530559065610207,0.7444444444444444,0.7648466395966478,0.4467924146854278,58.311697391541905,43.82836405820858,0.7444444444444444,0.0,14.333333333333334
ewma_z,30,drift,0.5631396517421785,0.5715072115386225,0.6904068189900251,0.5680961826504529,0.9880186245544313,0.17647428353875963,0.9808939737681002,-2752.1777527308946,-5604.019419397561,1.0,0.016666666666666666,405.8333333333333
ewma_z,30,periodicity,0.10386031245462997,0.13427241919863644,0.22808290639913203,0.12940599299572528,0.968,0.056996170879104004,0.8876114808322789,-2669.0346425462144,-5437.734642546215,1.0,0.0,806.6666666666667
ewma_z,30,transient,0.8254461034730417,0.26105562087730183,0.8258631183631183,0.9150462962962963,0.7936904761904763,0.8377191809085962,0.4248840048840049,84.20065405331964,83.4673207199863,0.8833333333333333,0.041666666666666664,0.888888888888889
ewma_z,30,real,0.11052279907862758,0.11662750024397638,0.1899842070581242,0.11276930727346499,0.8399262021650176,0.05198042906620556,0.8673337620617031,-9429.804799682772,-18959.013133016106,1.0,1.119047619047619,704.2029148415841
ewma_z,50,spike,0.699579602432582,0.19847085357179614,0.742895752587297,0.8202540460628696,0.75,0.7603779530885038,0.42952172645086034,69.06583204621846,63.87138760177402,0.75,0.0,5.111111111111112
ewma_z,50,drift,0.5679038983073916,0.576290179672734,0.695676762835999,0.5740976320166236,0.9923234814121487,0.2247003938693015,0.9811850073441554,-2727.6101237188855,-5554.885123718885,1.0,0.0,397.75
ewma_z,50,periodicity,0.09617871966796213,0.12317482656639563,0.22949922293478436,0.12992572973692612,0.984,0.06528991354885744,0.7343638307831748,-2696.5346425462144,-5492.734642546215,1.0,0.0,814.6666666666667
ewma_z,50,transient,0.8497994442129186,0.26937295788199983,0.8612860451095745,0.9010317460317461,0.8548809523809524,0.8679027871304068,0.4252615655948989,85.63374548446413,84.7629121511308,0.8916666666666667,0.041666666666666664,1.0833333333333333
ewma_z,50,real,0.11633287787393772,0.12196353928390384,0.19406885278566036,0.1418542714593061,0.759306618608465,0.07042736808213448,0.8647631986752297,-8681.61997430154,-17458.258069539635,1.0,4.671428571428572,619.0503601468456
robust_z,10,spike,0.2777929924320265,0.11576585289755184,0.37410002412540955,0.4006520187912209,0.5666666666666667,0.4067592585187619,0.22905155843953842,15.09390253624335,-32.51165301931221,0.5888888888888888,0.06666666666666667,46.416666666666664
robust_z,10,drift,0.5633674385715985,0.5726381808890376,0.684582030477345,0.560292779081843,0.9950958501422897,0.1004373197542198,0.980660489694422,-2821.384642546214,-5742.4346425462145,1.0,0.0,426.5
robust_z,10,periodicity,0.08702768366355912,0.10732950879730874,0.22571106090980014,0.1272130451177575,1.0,0.048943013744021116,0.7643102865763644,-2808.734642546214,-5717.134642546214,1.0,0.0,848.0
robust_z,10,transient,0.5087099339291038,0.19487327072318736,0.5869710236799857,0.5696133320222745,0.720952380952381,0.6054417471058126,0.35873479988224205,59.32631268058365,44.04089601391698,0.75,0.030555555555555555,19.083333333333332
robust_z,10,real,0.10768850015531892,0.11357269353126924,0.18920139421669985,0.12123526677166466,0.8112503509316299,0.03418348838427943,0.8663966200009551,-13542.368960359596,-27183.92074607388,1.0,0.7428571428571429,695.8361980186764
robust_z,20,spike,0.515814311881422,0.16687965665156276,0.5824219963558447,0.6401751504006682,0.6555555555555554,0.6056165751313097,0.3496587865879205,52.75385378212008,38.820520448786745,0.6611111111111111,0.025,14.13888888888889
robust_z,20,drift,0.5717808066426575,0.5804575760237698,0.6871716725266429,0.5643072039121454,0.982698207505249,0.14005090338370285,0.984753815920152,-2759.7851237188856,-5619.235123718885,1.0,0.03333333333333333,408.6666666666667
robust_z,20,periodicity,0.12025866820484885,0.15582731751083065,0.22563340893306316,0.1273450934339066,0.9893333333333334,0.04259252608854487,0.9346576500422653,-2774.6346425462143,-5648.9346425462145,1.0,0.0,837.6666666666666
robust_z,20,transient,0.739422732990637,0.25622994649492303,0.7680191500180517,0.779180628458979,0.7898412698412699,0.7697176801050241,0.3807867660046385,64.7372213483389,50.0934713483389,0.825,0.10277777777777779,18.75
robust_z,20,real,0.12429277704301864,0.12915850346141594,0.1955580410083267,0.1243979656695035,0.8130459982193944,0.03887548102202905,0.8614900415639514,-13732.585617374765,-27564.299903089053,1.0,0.7797619047619048,691.0948445766696
robust_z,30,spike,0.6031849541402141,0.18292591474200626,0.6615733301371599,0.6918317161470332,0.7722222222222223,0.6854797078388142,0.3855829268034157,57.00461445826144,39.160170013816995,0.7722222222222223,0.0,17.36111111111111
robust_z,30,drift,0.580420997427134,0.5887711118578776,0.6915119925200431,0.5704669856899992,0.9727436925959139,0.17973444972964858,0.9849770965659682,-2689.3851237188856,-5478.435123718885,1.0,0.08333333333333333,388.80555555555554
robust_z,30,periodicity,0.16361910445355443,0.20302307949094,0.2518872615579585,0.2481067241122464,0.28,0.1417321789140502,0.9186411149825784,-349.8181467368794,-793.1181467368795,1.0,12.8,114.66666666666667
