detector,anomaly_type,window_size,trial,tpr,fpr,precision,f1,detection_latency,tp,fp,tn,fn
"ZScore(w=20, thr=3.0)",burst,20,0,0.2,0.0555,0.0004,0.0009,0,1,2235,38047,4
"MAD(w=20, thr=3.5)",burst,20,0,1.0,0.189,0.0007,0.0013,0,5,7615,32667,0
"EWMA(lambda=0.2, L=3.5)",burst,20,0,1.0,0.3099,0.0004,0.0008,0,5,12484,27798,0
"CUSUM(k=0.5, h=3.5)",burst,20,0,1.0,0.1111,0.0011,0.0022,0,5,4477,35805,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,0,0.4,0.1283,0.0004,0.0008,1,2,5170,35112,3
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,0,0.0,0.3034,0.0,0.0,-1,0,12221,28061,5
GatedCUSUM(n=2),burst,20,0,0.8,0.0218,0.0045,0.009,1,4,877,39405,1
GatedEWMA(n=2),burst,20,0,0.8,0.278,0.0004,0.0007,1,4,11197,29085,1
GatedMAD(n=2),burst,20,0,1.0,0.0659,0.0019,0.0038,0,5,2656,37626,0
GatedZScore(n=2),burst,20,0,0.0,0.0066,0.0,0.0,-1,0,264,40018,5
Spike_AND(GatedMAD+GatedZScore),burst,20,0,0.0,0.0065,0.0,0.0,-1,0,263,40019,5
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,0,0.8,0.2793,0.0004,0.0007,1,4,11251,29031,1
Spike_OR(GatedMAD+GatedZScore),burst,20,0,1.0,0.066,0.0019,0.0037,0,5,2657,37625,0
TwoLayerEnsemble,burst,20,0,0.8,0.2838,0.0003,0.0007,1,4,11433,28849,1
"ZScore(w=20, thr=3.0)",burst,20,1,0.2,0.0587,0.0006,0.0011,0,1,1755,28128,4
"MAD(w=20, thr=3.5)",burst,20,1,1.0,0.1535,0.0011,0.0022,0,5,4588,25295,0
"EWMA(lambda=0.2, L=3.5)",burst,20,1,0.0,0.0037,0.0,0.0,-1,0,111,29772,5
"CUSUM(k=0.5, h=3.5)",burst,20,1,0.0,0.0025,0.0,0.0,-1,0,76,29807,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,1,0.0,0.0816,0.0,0.0,-1,0,2439,27444,5
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,1,1.0,0.8293,0.0002,0.0004,0,5,24783,5100,0
GatedCUSUM(n=2),burst,20,1,0.0,0.0001,0.0,0.0,-1,0,3,29880,5
GatedEWMA(n=2),burst,20,1,0.0,0.0026,0.0,0.0,-1,0,77,29806,5
GatedMAD(n=2),burst,20,1,0.8,0.0806,0.0017,0.0033,1,4,2408,27475,1
GatedZScore(n=2),burst,20,1,0.0,0.0114,0.0,0.0,-1,0,340,29543,5
Spike_AND(GatedMAD+GatedZScore),burst,20,1,0.0,0.0113,0.0,0.0,-1,0,338,29545,5
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,1,0.0,0.0026,0.0,0.0,-1,0,78,29805,5
Spike_OR(GatedMAD+GatedZScore),burst,20,1,0.8,0.0806,0.0017,0.0033,1,4,2410,27473,1
TwoLayerEnsemble,burst,20,1,0.0,0.0139,0.0,0.0,-1,0,414,29469,5
"ZScore(w=20, thr=3.0)",burst,20,2,0.4,0.0533,0.0009,0.0019,0,2,2148,38132,3
"MAD(w=20, thr=3.5)",burst,20,2,1.0,0.1696,0.0007,0.0015,0,5,6830,33450,0
"EWMA(lambda=0.2, L=3.5)",burst,20,2,0.8,0.0593,0.0017,0.0033,1,4,2389,37891,1
"CUSUM(k=0.5, h=3.5)",burst,20,2,1.0,0.0454,0.0027,0.0054,0,5,1827,38453,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,2,0.4,0.0873,0.0006,0.0011,1,2,3518,36762,3
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,2,0.0,0.4714,0.0,0.0,-1,0,18988,21292,5
GatedCUSUM(n=2),burst,20,2,0.8,0.0026,0.0364,0.0696,1,4,106,40174,1
GatedEWMA(n=2),burst,20,2,0.6,0.0487,0.0015,0.003,2,3,1960,38320,2
GatedMAD(n=2),burst,20,2,0.8,0.0612,0.0016,0.0032,1,4,2467,37813,1
GatedZScore(n=2),burst,20,2,0.2,0.0064,0.0038,0.0075,1,1,259,40021,4
Spike_AND(GatedMAD+GatedZScore),burst,20,2,0.2,0.0062,0.004,0.0078,1,1,249,40031,4
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,2,0.8,0.0492,0.002,0.004,1,4,1981,38299,1
Spike_OR(GatedMAD+GatedZScore),burst,20,2,0.8,0.0615,0.0016,0.0032,1,4,2477,37803,1
TwoLayerEnsemble,burst,20,2,0.8,0.0548,0.0018,0.0036,1,4,2207,38073,1
"ZScore(w=20, thr=3.0)",burst,20,3,0.6,0.0505,0.0015,0.0029,0,3,2035,38258,2
"MAD(w=20, thr=3.5)",burst,20,3,1.0,0.1145,0.0011,0.0022,0,5,4612,35681,0
"EWMA(lambda=0.2, L=3.5)",burst,20,3,0.0,0.0746,0.0,0.0,-1,0,3005,37288,5
"CUSUM(k=0.5, h=3.5)",burst,20,3,0.0,0.0898,0.0,0.0,-1,0,3619,36674,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,20,3,0.0,0.0962,0.0,0.0,-1,0,3875,36418,5
"SlidingWindow(mean, w=20, thr=3.0)",burst,20,3,0.0,0.0,0.0,0.0,-1,0,0,40293,5
GatedCUSUM(n=2),burst,20,3,0.0,0.0024,0.0,0.0,-1,0,98,40195,5
GatedEWMA(n=2),burst,20,3,0.0,0.0635,0.0,0.0,-1,0,2558,37735,5
GatedMAD(n=2),burst,20,3,1.0,0.0408,0.003,0.006,0,5,1643,38650,0
GatedZScore(n=2),burst,20,3,0.4,0.0078,0.0063,0.0125,1,2,314,39979,3
Spike_AND(GatedMAD+GatedZScore),burst,20,3,0.4,0.0075,0.0066,0.013,1,2,301,39992,3
Sustained_OR(GatedEWMA+GatedCUSUM),burst,20,3,0.0,0.0641,0.0,0.0,-1,0,2581,37712,5
Spike_OR(GatedMAD+GatedZScore),burst,20,3,1.0,0.0411,0.003,0.006,0,5,1656,38637,0
TwoLayerEnsemble,burst,20,3,0.4,0.0711,0.0007,0.0014,1,2,2863,37430,3
"ZScore(w=20, thr=3.0)",burst,20,4,0.4,0.0582,0.0009,0.0017,0,2,2345,37928,3
"MAD(w=20, thr=3.5)",burst,20,4,1.0,0.2026,0.0006,0.0012,0,5,8159,32114,0
"EWMA(lambda=0.2, L=3.5)",burst,20,4,1.0,0.1885,0.0007,0.0013,0,5,7590,32683,0
